customertype,region,npv,paybackperiod,systemsize,unitcost
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,146780,8.266122,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,141841,8.347421,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,142518.8,8.336106,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
"MGS",15,137978,8.407541,208.0634,1290
