customertype,region,npv,paybackperiod,systemsize,unitcost
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,1037760,6.854194,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,987140.5,6.993032,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,966142.1,7.039734,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1066005,6.781236,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,1017568,6.910613,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,965417.4,7.055161,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
"LGS",14,974634.7,7.026349,1052.403,1026
