customertype,region,npv,paybackperiod,systemsize,unitcost
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2611.105,10.4941,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
"SGS",16,2584.091,10.54074,1.618228,1930
