customertype,region,npv,paybackperiod,systemsize,unitcost
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2263287,7.308543,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,2499461,7.041071,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,1823101,7.884817,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,2173044,7.416623,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,1818190,7.88884,2691.706,1026
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
"LGS",17,2183578,7.679677,2691.706,1140
