customertype,region,npv,paybackperiod,systemsize,unitcost
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2144543,7.261461,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2017417,7.419347,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2110294,7.301054,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2039144,7.38785,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2035340,7.40142,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2115056,7.29065,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
"LGS",15,2046998,7.372667,2476.323,1026
