customertype,region,npv,paybackperiod,systemsize,unitcost
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1818.351,10.37861,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1913.173,10.19989,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1960.31,10.1168,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
"SGS",14,1873.086,10.27077,1.108811,1930
