customertype,region,npv,paybackperiod,systemsize,unitcost
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,144113.2,8.042754,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,137627.2,8.150303,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,130101.8,8.293327,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
"MGS",14,133158.9,8.235961,186.3956,1290
