customertype,region,npv,paybackperiod,systemsize,unitcost
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1747.287,10.95979,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1676.93,11.07447,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1629.941,11.15598,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
"Res",14,1713.294,11.01667,1.109602,1930
