customertype,region,npv,paybackperiod,systemsize,unitcost
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2299.278,10.41468,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2215.052,10.56664,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2300.029,10.4455,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
"Res",15,2263.552,10.48762,1.374499,1930
