customertype,region,npv,paybackperiod,systemsize,unitcost
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,149627.3,8.505777,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
"MGS",16,146246.2,8.558139,228.2684,1290
