customertype,region,npv,paybackperiod,systemsize,unitcost
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2471.391,10.83932,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
"Res",16,2500.817,10.78106,1.617718,1930
