customertype,region,npv,paybackperiod,systemsize,unitcost
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2416.429,10.90429,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2824.108,10.36799,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
"SGS",17,2548.013,10.70858,1.731732,1930
